Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
42,1233.18,20,88.39,4.42,7.17,229.76,7154.24,1027.74,6.74,43.88
47,354.93,10,55.73,5.57,15.70,145.09,2440.85,363.66,25.63,76.41
84,473.69,7,47.11,6.73,9.95,122.77,3222.99,471.19,15.34,21.15
10,1206.14,16,40.80,2.55,3.38,106.39,2792.93,373.66,12.74,27.00
38,552.06,13,38.68,2.98,7.01,100.89,4044.81,559.99,18.60,76.19
86,60.54,2,36.80,18.40,60.79,96.03,452.06,65.10,20.08,62.01
83,99.92,3,33.12,11.04,33.15,86.49,602.38,89.33,8.65,33.20
102,285.89,7,29.27,4.18,10.24,76.51,1360.14,194.82,22.57,28.91
81,113.22,5,29.15,5.83,25.75,76.21,684.88,96.11,7.25,37.08
23,353.65,9,27.02,3.00,7.64,70.69,2189.73,307.20,7.94,68.93
80,236.23,3,22.05,7.35,9.34,57.81,1498.25,203.67,4.09,24.31
104,59.83,4,21.37,5.34,35.71,56.03,244.54,34.31,14.53,47.58
4,650.75,8,20.20,2.53,3.10,53.01,4518.12,647.54,12.14,40.08
101,61.95,3,19.04,6.35,30.74,50.01,416.60,61.69,18.07,86.00
100,58.17,2,16.07,8.04,27.63,42.30,400.79,59.91,17.30,73.48
