Microwshed_ID,Pond_Count,Area_Acres,Total_Pondshed_Area_Acres,Impervious_Area_Acres,Annual_Rainfall_Inches,Annual_Runoff_MGYr,Pond_Controllable_Volume_Ac-Ft,Annual_Volume_Treated_MG/Yr,Annual_Volume_Treated_MG/Yr_PerPond
56,16,664.08,480.89,207.43,52.45,295.44,222.57,60.91,3.81
35,9,496.46,246.32,100.93,52.70,144.42,172.24,15.79,1.75
42,12,549.40,225.84,182.92,52.37,260.15,97.70,91.49,7.62
10,14,1289.40,224.69,304.90,53.10,439.64,86.57,164.03,11.72
37,6,262.41,199.70,55.80,52.70,79.85,122.50,4.53,0.76
9,9,401.12,143.71,155.78,53.42,225.96,57.38,88.11,9.79
57,5,140.48,111.03,31.95,52.84,45.84,86.01,0.65,0.13
30,6,334.07,101.85,116.05,52.90,166.69,41.45,64.72,10.79
49,4,138.28,89.17,30.27,52.70,43.32,111.64,0.00,0.00
33,4,117.94,83.85,25.46,52.70,36.43,73.20,0.02,0.00
54,2,65.56,56.34,20.22,52.45,28.79,42.30,1.92,0.96
36,1,54.89,53.70,10.88,52.70,15.58,75.64,0.00,0.00
38,3,63.62,48.85,14.64,52.70,20.95,86.49,0.00,0.00
